Name,1FGL,z,f_z,F5980,alpha,L5100,LHb,WHb,MHb,L3000,LMgII,WMgII,MMgII,Tel,_RA,_DE
J2035+1056,J2035.4+1100,0.601, ,14.4,-1.03,44.968,42.708,2300,7.74,45.016,43.01,3900,8.26,HET ,308.84308,10.93522
J2118+0013,J2117.8+0016,0.463, ,12.8,-0.9,44.683,42.422,2300,7.6,44.748,42.823,2900,7.89,SDSS,319.5725,0.22133
J2120-1254,J2120.2-1259,0.582, ,0.8,-2.84,      ,      ,     ,     ,      ,      ,    ,     ,WMKO,320.1492,-12.91213
J2236+2828,J2236.2+2828,0.79, ,139.9,-1.73,      ,      ,     ,     ,46.281,43.158,3900,8.35,HET ,339.09362,28.48261
J2237-3921,J2237.2-3919,0.297, ,10.9,-1.07,44.174,42.299,3100,7.77,44.312,42.819,3100,7.95,VLT ,339.28379,-39.36061
J2250-2806,J2250.8-2809,0.525,:,0.5,-2.27,      ,      ,     ,     ,      ,      ,    ,     ,VLT ,342.68521,-28.10981
J2315-5018,J2315.9-5014,0.808, ,18.9,-1.19,      ,      ,     ,     ,45.457,42.415,3100,7.68,VLT ,348.93458,-50.31108
J2325-4051,J2325.8-4043,0.325, ,3.9,-2.34,      ,      ,     ,     ,      ,      ,    ,     ,VLT ,351.26409,-40.85835
J2331-2148,J2331.0-2145,0.563, ,12.4,-1.01,44.88,42.471,2100,7.53,44.911,42.548,2600,7.63,WMKO,352.76679,-21.80428
J2334+0736,J2334.3+0735,0.401, ,99.6,-0.36,45.399,43.53,3000,8.37,      ,      ,    ,     ,HET ,353.55342,7.60764
J2345-1555,J2344.6-1554,0.621, ,35.3,-1.25,45.497,42.808,3600,8.16,45.426,43.3,4100,8.48,P200,356.30192,-15.91883
