XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J000027.7-250442,0.336,3.81,0.045,0.043,3.72,0.018,0.019,44.21,0.11,0.16,44.34,0.11,0.16,8.63,0.1,0.12,8.39,0.07,0.09,8.63,0.1,0.12,8.68,-0.94,0.09,0.12,-1.93,0.13,0.17,-1.98,0.11542,-25.07861
J000031.7-245502,0.284,3.48,0.664,0.042,     ,0,0,44.28,0.12,0.48,44.17,0.13,0.48,8.02,1.32,0.25,     ,     ,     ,8.02,1.32,0.25,8.15,-1.05,0.11,0.33,-1.43,1.32,0.41,-1.56,0.13292,-24.91583
J000102.4-245850,0.433,3.73,0.067,0.062,3.66,0.033,0.017,43.57,0.14,0.16,43.79,0.15,0.15,8.16,0.15,0.14,7.93,0.09,0.09,8.16,0.15,0.14,8.26,-1.06,0.07,0.06,-1.58,0.17,0.15,-1.68,0.26,-24.98028
J001831.6+162925,0.553,     ,0,0,3.5,0.007,0.007,45.09,0.12,0.09,45.29,0.12,0.09,     ,     ,     ,8.54,0.06,0.05,8.54,0.06,0.05,8.92,0.06,0.1,0.09,-0.84,0.12,0.1,-1.22,4.63292,16.49056
J002618.5+105019,0.473,3.75,0.045,0.064,3.48,0.036,0.04,45.23,0.11,0.1,45.43,0.11,0.1,9.03,0.1,0.14,8.59,0.09,0.09,9.03,0.1,0.14,9.24,0.2,0.1,0.08,-1.19,0.14,0.16,-1.4,6.57793,10.83872
J002637.4+165953,0.554,3.42,0.05,0.238,3.72,0.019,0.02,44.92,0.12,0.15,45.06,0.11,0.16,8.21,0.11,0.41,8.83,0.07,0.09,8.21,0.11,0.41,8.63,-0.2,0.08,0.11,-0.77,0.14,0.42,-1.19,6.65625,16.99833
J003315.5-120700,1.206,     ,0,0,3.94,0.03,0.033,45.32,0.28,0.34,45.52,0.28,0.34,     ,     ,     ,9.56,0.16,0.18,9.56,0.16,0.18,9.67,0.4,0.21,0.19,-1.52,0.26,0.26,-1.63,8.31522,-12.11641
J003316.0-120456,0.66,     ,0,0,3.62,0.031,0.033,45.01,0.18,0.15,45.25,0.18,0.15,     ,     ,     ,8.76,0.11,0.1,8.76,0.11,0.1,9.09,0.19,0.16,0.14,-0.93,0.19,0.17,-1.26,8.31708,-12.08222
J003418.9-115940,0.85,     ,0,0,3.76,0.034,0.037,44.7,0.17,0.23,44.94,0.18,0.22,     ,     ,     ,8.84,0.11,0.13,8.84,0.11,0.13,9.03,-0.05,0.14,0.16,-1.25,0.18,0.21,-1.44,8.57937,-11.9941
J005009.9-515934,0.61,3.66,0.172,0.299,3.67,0.075,0.172,44.44,0.11,0.1,44.63,0.12,0.09,8.45,0.35,0.58,8.47,0.16,0.34,8.45,0.35,0.58,8.62,-0.48,0.08,0.06,-1.29,0.36,0.58,-1.46,12.54,-51.99222
J005031.1-520012,0.463,3.6,0.11,0.097,3.75,0.028,0.03,44.85,0.19,0.26,45.05,0.19,0.27,8.53,0.23,0.22,8.89,0.11,0.15,8.53,0.23,0.22,8.78,-0.19,0.17,0.22,-1.08,0.29,0.31,-1.33,12.62833,-52.00278
J005032.3-521543,1.216,     ,0,0,3.86,0.023,0.024,45.33,0.21,0.3,45.53,0.2,0.3,     ,     ,     ,9.42,0.11,0.16,9.42,0.11,0.16,9.55,0.36,0.16,0.2,-1.42,0.19,0.26,-1.55,12.63417,-52.26194
J010421.4-061418,0.52,     ,0,0,3.48,0.061,0.072,43.4,0.15,0.22,43.67,0.14,0.23,     ,     ,     ,7.49,0.13,0.18,7.49,0.13,0.18,7.93,-0.89,0.07,0.09,-0.74,0.15,0.2,-1.18,16.08958,-6.23806
J010432.8-583712,1.64,     ,0,0,4.03,0.02,0.021,45.62,0.14,0.16,45.85,0.14,0.16,     ,     ,     ,9.94,0.08,0.09,9.94,0.08,0.09,10.06,0.82,0.1,0.09,-1.48,0.13,0.13,-1.6,16.13583,-58.61972
J010701.5-172748,0.89,     ,0,0,3.58,0.038,0.042,45.16,0.17,0.16,45.42,0.18,0.15,     ,     ,     ,8.78,0.11,0.11,8.78,0.11,0.11,9.35,0.6,0.15,0.13,-0.54,0.19,0.17,-1.11,16.75625,-17.46278
J010747.2-172044,0.98,     ,0,0,3.67,0.011,0.011,45.91,0.11,0.16,46.14,0.11,0.16,     ,     ,     ,9.41,0.06,0.09,9.41,0.06,0.09,9.81,0.97,0.11,0.14,-0.8,0.13,0.17,-1.2,16.94779,-17.34525
J012000.0-110429,0.351,3.21,0.06,0.073,     ,0,0,43.67,0.21,0.34,43.93,0.22,0.34,7.16,0.14,0.2,     ,     ,     ,7.16,0.14,0.2,7.87,-0.84,0.17,0.22,-0.36,0.22,0.3,-1.07,20.00042,-11.07472
J012025.2-105441,1.338,     ,0,0,3.77,0.015,0.016,46.05,0.14,0.16,46.28,0.14,0.16,     ,     ,     ,9.68,0.08,0.08,9.68,0.08,0.08,10.01,1.11,0.14,0.14,-0.93,0.16,0.16,-1.26,20.10545,-10.9109
J012119.9-110418,0.204,3.57,0.02,0.021,     ,0,0,44.15,0.14,0.16,44.37,0.15,0.15,8.13,0.08,0.09,     ,     ,     ,8.13,0.08,0.09,8.33,-0.72,0.12,0.12,-1.21,0.14,0.15,-1.41,20.33333,-11.07056
J013204.9-400050,0.445,3.43,0.057,0.049,3.67,0.013,0.007,44.56,0.14,0.16,44.75,0.15,0.15,8.05,0.13,0.12,8.55,0.08,0.07,8.05,0.13,0.12,8.4,-0.47,0.13,0.13,-0.88,0.18,0.18,-1.23,23.02167,-40.01333
J014251.5+133352,1.071,     ,0,0,3.9,0.022,0.023,45.52,0.12,0.09,45.75,0.12,0.1,     ,     ,     ,9.63,0.07,0.07,9.63,0.07,0.07,9.77,0.61,0.1,0.09,-1.38,0.12,0.11,-1.53,25.71556,13.56463
J015957.5+003309,0.31,3.21,0.071,0.074,3.79,0.181,0.181,44.06,0.11,0.1,44.19,0.11,0.1,7.36,0.13,0.12,8.44,0.36,0.36,7.36,0.13,0.12,7.95,-0.8,0.05,0.03,-0.52,0.14,0.12,-1.11,29.99016,0.55291
J020029.0+002846,0.174,3.53,0.084,0.106,     ,0,0,43.35,0.12,0.09,43.48,0.12,0.09,7.65,0.17,0.2,     ,     ,     ,7.65,0.17,0.2,7.74,-1.61,0.06,0.05,-1.62,0.18,0.21,-1.71,30.1211,0.47962
J021808.3-045845,0.712,3.56,0.057,0.067,3.82,0.011,0.011,45.55,0.11,0.1,45.74,0.12,0.09,8.81,0.11,0.12,9.45,0.06,0.05,9.45,0.06,0.05,9.63,0.53,0.09,0.08,-1.28,0.11,0.09,-1.46,34.53431,-4.97924
J021817.4-045113,1.08,     ,0,0,3.82,0.014,0.014,45.19,0.12,0.18,45.38,0.13,0.17,     ,     ,     ,9.23,0.07,0.09,9.23,0.07,0.09,9.46,0.46,0.05,0.07,-1.13,0.09,0.11,-1.36,34.57265,-4.85345
J021820.6-050427,0.646,3.31,0.079,0.1,3.68,0.026,0.027,44.87,0.08,0.15,45.07,0.08,0.15,7.96,0.14,0.18,8.76,0.06,0.1,8.76,0.06,0.1,8.95,-0.12,0.06,0.12,-1.24,0.08,0.16,-1.43,34.585,-5.07389
J021923.2-045148,0.632,3.76,0.016,0.017,3.69,0.018,0.019,44.92,0.11,0.1,45.11,0.12,0.09,8.88,0.07,0.06,8.81,0.07,0.05,8.81,0.07,0.05,8.99,-0.11,0.1,0.08,-1.28,0.12,0.09,-1.46,34.84708,-4.86333
J023459.7-294436,0.446,3.67,0.025,0.016,3.68,0.003,0.003,45.19,0.21,0.22,45.42,0.21,0.22,8.84,0.12,0.11,8.98,0.1,0.11,8.84,0.12,0.11,9.14,0.23,0.2,0.22,-0.97,0.23,0.25,-1.28,38.75,-29.74278
J024200.9+000020,1.112,     ,0,0,3.95,0.017,0.018,45.74,0.09,0.05,45.87,0.09,0.05,     ,     ,     ,9.79,0.06,0.04,9.79,0.06,0.04,9.89,0.57,0.07,0.04,-1.58,0.09,0.06,-1.68,40.50381,0.00586
J024204.7+000814,0.383,3.69,0.031,0.032,3.53,0.016,0.016,44.31,0.11,0.1,44.58,0.11,0.1,8.45,0.08,0.08,8.17,0.06,0.06,8.45,0.08,0.08,8.69,-0.31,0.11,0.09,-1.12,0.14,0.12,-1.36,40.51987,0.13738
J024207.3+000037,0.385,3.74,0.047,0.041,     ,0,0,44.07,0.08,0.1,44.29,0.08,0.09,8.42,0.1,0.1,     ,     ,     ,8.42,0.1,0.1,8.52,-0.79,0.06,0.07,-1.57,0.12,0.12,-1.67,40.53027,0.01078
J025606.1+001635,0.629,3.26,0.143,0.153,3.62,0.014,0.015,44.65,0.11,0.1,44.85,0.11,0.1,7.76,0.25,0.24,8.5,0.06,0.06,7.76,0.25,0.24,8.39,-0.34,0.09,0.07,-0.46,0.27,0.25,-1.09,44.02513,0.27634
J031015.5-765131,1.187,     ,0,0,3.98,0.026,0.028,45.94,0.13,0.18,46.14,0.12,0.18,     ,     ,     ,10.02,0.08,0.1,10.02,0.08,0.1,10.16,0.99,0.09,0.12,-1.39,0.12,0.16,-1.53,47.56625,-76.85861
J031311.7-765428,1.274,     ,0,0,3.78,0.033,0.035,45.66,0.2,0.23,45.88,0.21,0.22,     ,     ,     ,9.47,0.13,0.13,9.47,0.13,0.13,9.74,0.78,0.17,0.16,-1.05,0.21,0.21,-1.32,48.30042,-76.90889
J033208.7-274735,0.544,4.17,0.03,0.029,     ,0,0,44.72,0.08,0.18,44.85,0.09,0.18,9.6,0.07,0.11,     ,     ,     ,9.6,0.07,0.11,9.62,-0.45,0.07,0.13,-2.41,0.1,0.17,-2.43,53.03612,-27.79283
J033506.0-255619,1.43,     ,0,0,3.77,0.019,0.02,46.32,0.18,0.22,46.52,0.17,0.23,     ,     ,     ,9.83,0.1,0.12,9.83,0.1,0.12,10.15,1.25,0.17,0.2,-0.94,0.2,0.23,-1.26,53.775,-25.93861
J033851.4-352646,1.07,     ,0,0,3.87,0.037,0.04,45.88,0.21,0.22,46.02,0.2,0.22,     ,     ,     ,9.74,0.12,0.13,9.74,0.12,0.13,9.87,0.66,0.19,0.2,-1.44,0.22,0.24,-1.57,54.715,-35.44583
J033912.1-352813,0.466,3.7,0.037,0.036,3.89,0.01,0.01,44.16,0.17,0.16,44.29,0.17,0.16,8.38,0.11,0.11,8.7,0.08,0.09,8.7,0.08,0.09,8.75,-0.85,0.11,0.07,-1.91,0.14,0.11,-1.96,54.80083,-35.46972
J041108.1-711341,0.923,     ,0,0,3.75,0.066,0.078,45.07,0.23,0.31,45.29,0.24,0.3,     ,     ,     ,9.04,0.18,0.21,9.04,0.18,0.21,9.24,0.2,0.19,0.21,-1.2,0.26,0.3,-1.4,62.78375,-71.22808
J050446.3-283821,0.84,3.56,0.171,0.179,4.01,0.007,0.007,44.34,0.15,0.16,44.54,0.14,0.16,8.2,0.35,0.36,9.09,0.07,0.08,8.2,0.35,0.36,8.49,-0.44,0.08,0.06,-1,0.36,0.36,-1.29,76.19333,-28.63889
J050501.8-284149,0.257,3.36,0.029,0.029,     ,0,0,43.64,0.18,0.15,43.84,0.17,0.16,7.44,0.11,0.09,     ,     ,     ,7.44,0.11,0.09,7.67,-1.33,0.14,0.11,-1.13,0.18,0.14,-1.36,76.258,-28.69686
J051651.9+794314,0.557,3.5,0.07,0.085,3.63,0.03,0.033,45.42,0.23,0.22,45.65,0.23,0.22,8.63,0.17,0.19,9.01,0.13,0.12,9.01,0.13,0.12,9.37,0.5,0.21,0.2,-0.87,0.25,0.23,-1.23,79.21625,79.72083
J051955.5-455727,0.562,3.61,0.041,0.045,3.63,0.021,0.022,44.95,0.11,0.16,44.84,0.11,0.15,8.6,0.1,0.11,8.51,0.07,0.08,8.51,0.07,0.08,8.72,-0.31,0.08,0.11,-1.18,0.11,0.14,-1.39,79.98167,-45.95667
J052022.0-252309,0.745,4.31,0.083,0.065,     ,0,0,44.9,0.22,0.43,45.03,0.22,0.44,9.97,0.2,0.25,     ,     ,     ,9.97,0.2,0.25,9.98,-0.2,0.16,0.25,-2.53,0.26,0.35,-2.54,80.0925,-25.38611
J052144.1-251518,0.321,3.73,0.07,0.068,     ,0,0,43.9,0.11,0.16,44.09,0.12,0.15,8.32,0.15,0.15,     ,     ,     ,8.32,0.15,0.15,8.39,-1.08,0.09,0.11,-1.76,0.17,0.19,-1.83,80.435,-25.25611
J052543.6-334856,0.735,3.75,0.067,0.065,3.82,0.008,0.008,44.86,0.23,0.22,45.06,0.23,0.22,8.84,0.18,0.17,9.03,0.11,0.11,8.84,0.18,0.17,9.01,-0.1,0.18,0.15,-1.3,0.25,0.23,-1.47,81.43167,-33.81583
J065214.1+743230,0.62,3.51,0.051,0.058,3.86,0.054,0.039,45.25,0.2,0.22,45.48,0.2,0.22,8.55,0.14,0.15,9.39,0.14,0.14,9.39,0.14,0.14,9.52,0.33,0.18,0.19,-1.42,0.23,0.24,-1.55,103.06083,74.54111
J065400.0+742045,0.362,3.56,0.036,0.032,3.27,0.042,0.047,44.41,0.15,0.15,44.61,0.15,0.15,8.24,0.1,0.1,7.67,0.1,0.11,8.24,0.1,0.1,8.44,-0.61,0.12,0.13,-1.21,0.16,0.16,-1.41,103.50042,74.34583
J074202.7+742625,0.599,3.72,0.062,0.073,3.76,0.011,0.011,44.16,0.14,0.16,44.4,0.15,0.15,8.42,0.14,0.16,8.51,0.08,0.08,8.51,0.08,0.08,8.71,-0.35,0.07,0.06,-1.22,0.11,0.1,-1.42,115.51083,74.44
J074352.0+744258,0.8,     ,0,0,3.72,0.027,0.028,45.22,0.11,0.16,45.41,0.12,0.15,     ,     ,     ,9.06,0.08,0.09,9.06,0.08,0.09,9.26,0.21,0.1,0.12,-1.21,0.13,0.15,-1.41,115.97083,74.71611
J080504.6+245156,0.98,     ,0,0,3.63,0.073,0.089,44.43,0.08,0.1,44.63,0.08,0.1,     ,     ,     ,8.39,0.14,0.17,8.39,0.14,0.17,8.64,-0.33,0.03,0.05,-1.08,0.14,0.18,-1.33,121.26937,24.86598
J080608.1+244420,0.357,3.47,0.028,0.027,3.47,0.017,0.007,44.62,0.08,0.1,44.84,0.08,0.09,8.15,0.07,0.07,8.21,0.05,0.05,8.15,0.07,0.07,8.57,-0.25,0.06,0.07,-0.76,0.09,0.1,-1.18,121.5339,24.73918
J083049.8+524908,1.2,     ,0,0,3.63,0.048,0.055,44.8,0.08,0.09,45,0.08,0.09,     ,     ,     ,8.62,0.1,0.11,8.62,0.1,0.11,9.01,0.16,0.03,0.03,-0.82,0.1,0.11,-1.21,127.70703,52.8195
J083737.1+254751,0.08,4.2,0.149,0.031,     ,0,0,43.53,0.11,0.1,43.76,0.11,0.1,9.07,0.3,0.08,     ,     ,     ,9.07,0.3,0.08,9.08,-1.34,0.09,0.07,-2.77,0.31,0.11,-2.78,129.40436,25.79737
J083838.6+253616,0.601,     ,0,0,3.75,0.042,0.047,44.92,0.12,0.09,45.15,0.11,0.1,     ,     ,     ,8.96,0.1,0.11,8.96,0.1,0.11,9.12,-0.02,0.11,0.09,-1.34,0.15,0.14,-1.5,129.66027,25.60476
J083905.9+255010,0.25,3.86,0.096,0.106,     ,0,0,43.23,0.14,0.16,43.45,0.15,0.15,8.24,0.2,0.22,     ,     ,     ,8.24,0.2,0.22,8.27,-1.55,0.1,0.09,-2.15,0.22,0.24,-2.18,129.77453,25.83598
J085530.7+585129,0.905,     ,0,0,3.66,0.034,0.037,44.41,0.08,0.15,44.64,0.08,0.16,     ,     ,     ,8.46,0.07,0.11,8.46,0.07,0.11,8.77,-0.14,0.03,0.05,-0.96,0.08,0.12,-1.27,133.87917,58.85806
J094548.3-084824,1.748,     ,0,0,3.72,0.01,0.01,46.31,0.19,0.34,46.55,0.19,0.34,     ,     ,     ,9.77,0.09,0.17,9.77,0.09,0.17,10.25,1.46,0.19,0.31,-0.67,0.21,0.35,-1.15,146.45083,-8.80639
J095054.5+393924,1.299,     ,0,0,3.58,0.047,0.053,45.41,0.11,0.1,45.65,0.12,0.09,     ,     ,     ,8.93,0.11,0.11,8.93,0.11,0.11,9.4,0.61,0.1,0.08,-0.68,0.15,0.14,-1.16,147.72875,39.6575
J095309.7+013558,0.477,3.87,0.138,0.206,3.61,0.038,0.042,43.94,0.11,0.16,44.21,0.11,0.16,8.63,0.28,0.41,8.08,0.1,0.11,8.08,0.1,0.11,8.37,-0.57,0.09,0.12,-1.01,0.13,0.16,-1.3,148.29222,1.59892
J095509.6+174124,1.29,     ,0,0,3.75,0.053,0.06,45.13,0.08,0.1,45.4,0.08,0.1,     ,     ,     ,9.12,0.11,0.13,9.12,0.11,0.13,9.47,0.59,0.07,0.07,-0.89,0.13,0.15,-1.24,148.79,17.69019
J100100.0+252103,0.794,     ,0,0,3.68,0.01,0.011,44.96,0.11,0.1,45.09,0.12,0.09,     ,     ,     ,8.78,0.06,0.05,8.78,0.06,0.05,8.95,-0.15,0.08,0.07,-1.29,0.1,0.09,-1.46,150.25046,25.3513
J100309.4+554135,0.673,3.88,0.05,0.051,3.71,0.01,0.01,44.91,0.08,0.1,45.14,0.08,0.1,9.12,0.11,0.11,8.87,0.05,0.05,8.87,0.05,0.05,9.06,-0.01,0.08,0.08,-1.23,0.09,0.09,-1.42,150.78928,55.69297
J100828.8+535408,0.384,3.56,0.033,0.033,3.85,0.149,0.123,44.37,0.08,0.09,44.51,0.08,0.1,8.21,0.07,0.08,8.75,0.3,0.24,8.75,0.3,0.24,8.8,-0.82,0.07,0.08,-1.93,0.31,0.25,-1.98,152.12045,53.90166
J100921.7+534926,0.387,3.63,0.049,0.046,3.74,0.007,0.007,44.1,0.12,0.15,44.3,0.11,0.15,8.22,0.12,0.12,8.41,0.05,0.08,8.22,0.12,0.12,8.36,-0.83,0.08,0.1,-1.41,0.14,0.16,-1.55,152.34126,53.82378
J100926.5+533426,1.718,     ,0,0,3.68,0.075,0.091,45.8,0.11,0.1,45.99,0.12,0.1,     ,     ,     ,9.34,0.16,0.19,9.34,0.16,0.19,9.68,0.8,0.09,0.07,-0.9,0.18,0.2,-1.24,152.36147,53.57344
J101506.0+520157,0.61,3.4,0.05,0.058,3.79,0.028,0.003,44.73,0.11,0.1,44.97,0.12,0.09,8.07,0.1,0.11,8.92,0.08,0.04,8.92,0.08,0.04,9.07,-0.09,0.11,0.08,-1.37,0.14,0.09,-1.52,153.7752,52.0328
J101838.0+411635,0.577,3.48,0.132,0.341,3.82,0.014,0.014,44.43,0.08,0.1,44.67,0.08,0.09,8.09,0.25,0.54,8.79,0.05,0.06,8.79,0.05,0.06,8.91,-0.33,0.07,0.07,-1.48,0.09,0.09,-1.6,154.6582,41.2772
J101850.5+411506,0.577,3.87,0.186,0.335,3.69,0.005,0.005,45.06,0.07,0.1,45.25,0.08,0.09,9.17,0.37,0.65,8.89,0.05,0.04,8.89,0.05,0.04,9.1,0.07,0.07,0.08,-1.18,0.09,0.08,-1.39,154.7105,41.25221
