XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J123036.2+642531,0.744,     ,0,0,3.56,0.036,0.039,44.67,0.12,0.09,44.8,0.12,0.09,     ,     ,     ,8.36,0.09,0.08,8.36,0.09,0.08,8.58,-0.44,0.08,0.07,-1.16,0.12,0.11,-1.38,187.65215,64.42512
J123116.5+641115,0.454,4.18,0.086,0.062,     ,0,0,43.89,0.08,0.1,44.03,0.07,0.1,9.21,0.18,0.13,     ,     ,     ,9.21,0.18,0.13,9.22,-1.07,0.05,0.04,-2.64,0.19,0.14,-2.65,187.81877,64.18729
J123218.5+640311,1.013,     ,0,0,3.51,0.13,0.198,44.79,0.14,0.16,44.98,0.15,0.15,     ,     ,     ,8.36,0.25,0.34,8.36,0.25,0.34,8.78,-0.04,0.08,0.07,-0.76,0.26,0.35,-1.18,188.07843,64.05271
J123759.6+621102,0.91,     ,0,0,3.71,0.007,0.007,45.41,0.08,0.09,45.61,0.08,0.1,     ,     ,     ,9.16,0.05,0.05,9.16,0.05,0.05,9.4,0.4,0.06,0.08,-1.12,0.08,0.09,-1.36,189.49824,62.18401
J123800.9+621338,0.44,3.62,0.044,0.044,3.79,0.002,0.002,44.57,0.08,0.09,44.77,0.08,0.09,8.44,0.09,0.1,8.8,0.04,0.04,8.44,0.09,0.1,8.62,-0.48,0.07,0.08,-1.28,0.11,0.13,-1.46,189.50385,62.2267
J124214.1-112512,0.82,     ,0,0,3.65,0.014,0.014,45.25,0.13,0.11,45.38,0.13,0.11,     ,     ,     ,8.89,0.07,0.06,8.89,0.07,0.06,9.12,0.12,0.09,0.08,-1.13,0.11,0.1,-1.36,190.55875,-11.42
J124557.6+022659,0.708,3.58,0.075,0.075,3.69,0.028,0.029,44.7,0.15,0.15,44.97,0.15,0.16,8.41,0.17,0.16,8.71,0.09,0.1,8.71,0.09,0.1,9.04,0.15,0.12,0.13,-0.92,0.15,0.16,-1.25,191.48958,2.44917
J124607.6+022153,0.491,3.64,0.048,0.047,3.58,0.011,0.012,44.41,0.08,0.09,44.64,0.08,0.1,8.4,0.1,0.1,8.3,0.04,0.06,8.4,0.1,0.1,8.61,-0.42,0.06,0.07,-1.18,0.12,0.12,-1.39,191.53133,2.36483
J124641.8+022412,0.934,     ,0,0,3.55,0.005,0.005,45.89,0.04,0.1,46.03,0.04,0.1,     ,     ,     ,9.11,0.02,0.06,9.11,0.02,0.06,9.53,0.7,0.03,0.08,-0.77,0.04,0.1,-1.19,191.67371,2.4033
J124647.9+020955,1.074,     ,0,0,3.81,0.046,0.052,45.12,0.15,0.15,45.35,0.15,0.15,     ,     ,     ,9.2,0.12,0.13,9.2,0.12,0.13,9.36,0.22,0.13,0.12,-1.34,0.18,0.18,-1.5,191.69917,2.16545
